24495 16 
1 1 1
2 1 2
3 1 3
4 1 4
5 2 1
6 2 2
7 2 3
8 2 4
9 3 1
10 3 2
11 3 3
12 3 4
13 4 1
14 4 2
15 4 3
16 4 4
1 1 0.000000e+00 0.000000e+00 
1 2 0.000000e+00 0.000000e+00 
1 3 0.000000e+00 0.000000e+00 
1 4 0.000000e+00 0.000000e+00 
1 5 0.000000e+00 0.000000e+00 
1 6 0.000000e+00 0.000000e+00 
1 7 0.000000e+00 0.000000e+00 
1 8 0.000000e+00 0.000000e+00 
1 9 0.000000e+00 0.000000e+00 
1 10 0.000000e+00 0.000000e+00 
1 11 0.000000e+00 0.000000e+00 
1 12 0.000000e+00 0.000000e+00 
1 13 0.000000e+00 0.000000e+00 
1 14 0.000000e+00 0.000000e+00 
1 15 0.000000e+00 0.000000e+00 
1 16 0.000000e+00 0.000000e+00 
2 1 0.000000e+00 0.000000e+00 
2 2 0.000000e+00 0.000000e+00 
2 3 0.000000e+00 0.000000e+00 
2 4 0.000000e+00 0.000000e+00 
2 5 0.000000e+00 0.000000e+00 
2 6 0.000000e+00 0.000000e+00 
2 7 0.000000e+00 0.000000e+00 
2 8 0.000000e+00 0.000000e+00 
2 9 0.000000e+00 0.000000e+00 
2 10 0.000000e+00 0.000000e+00 
2 11 0.000000e+00 0.000000e+00 
2 12 0.000000e+00 0.000000e+00 
2 13 0.000000e+00 0.000000e+00 
2 14 0.000000e+00 0.000000e+00 
2 15 0.000000e+00 0.000000e+00 
2 16 0.000000e+00 0.000000e+00 
3 1 0.000000e+00 0.000000e+00 
3 2 0.000000e+00 0.000000e+00 
3 3 0.000000e+00 0.000000e+00 
3 4 0.000000e+00 0.000000e+00 
3 5 0.000000e+00 0.000000e+00 
3 6 8.501149e-01 8.271806e-24 
3 7 -8.090761e-09 -7.381591e-08 
3 8 0.000000e+00 0.000000e+00 
3 9 0.000000e+00 0.000000e+00 
3 10 4.722778e-08 -6.617445e-24 
3 11 -6.803593e-24 0.000000e+00 
3 12 0.000000e+00 0.000000e+00 
3 13 0.000000e+00 0.000000e+00 
3 14 0.000000e+00 0.000000e+00 
3 15 0.000000e+00 0.000000e+00 
3 16 0.000000e+00 0.000000e+00 
4 1 0.000000e+00 0.000000e+00 
4 2 0.000000e+00 0.000000e+00 
4 3 0.000000e+00 0.000000e+00 
4 4 0.000000e+00 0.000000e+00 
4 5 0.000000e+00 0.000000e+00 
4 6 8.500446e-01 8.463818e-16 
4 7 -2.426994e-08 -2.214340e-07 
4 8 0.000000e+00 0.000000e+00 
4 9 0.000000e+00 0.000000e+00 
4 10 1.416747e-07 -1.985101e-23 
4 11 -3.073252e-15 -2.623766e-15 
4 12 0.000000e+00 0.000000e+00 
4 13 0.000000e+00 0.000000e+00 
4 14 0.000000e+00 0.000000e+00 
4 15 0.000000e+00 0.000000e+00 
4 16 0.000000e+00 0.000000e+00 
5 1 0.000000e+00 0.000000e+00 
5 2 0.000000e+00 0.000000e+00 
5 3 0.000000e+00 0.000000e+00 
5 4 0.000000e+00 0.000000e+00 
5 5 0.000000e+00 0.000000e+00 
5 6 8.498892e-01 4.231995e-15 
5 7 -4.853853e-08 -4.428273e-07 
5 8 0.000000e+00 0.000000e+00 
5 9 0.000000e+00 0.000000e+00 
5 10 2.833227e-07 -1.389604e-22 
5 11 -1.536504e-14 -1.311782e-14 
5 12 0.000000e+00 0.000000e+00 
5 13 0.000000e+00 0.000000e+00 
5 14 0.000000e+00 0.000000e+00 
5 15 0.000000e+00 0.000000e+00 
5 16 0.000000e+00 0.000000e+00 
6 1 0.000000e+00 0.000000e+00 
6 2 0.000000e+00 0.000000e+00 
6 3 0.000000e+00 0.000000e+00 
6 4 0.000000e+00 0.000000e+00 
6 5 0.000000e+00 0.000000e+00 
6 6 8.496487e-01 1.269747e-14 
6 7 -8.090080e-08 -7.379557e-07 
6 8 0.000000e+00 0.000000e+00 
6 9 0.000000e+00 0.000000e+00 
6 10 4.721443e-07 -7.874395e-22 
6 11 -4.609079e-14 -3.934968e-14 
6 12 0.000000e+00 0.000000e+00 
6 13 0.000000e+00 0.000000e+00 
6 14 0.000000e+00 0.000000e+00 
6 15 0.000000e+00 0.000000e+00 
6 16 0.000000e+00 0.000000e+00 
7 1 0.000000e+00 0.000000e+00 
7 2 0.000000e+00 0.000000e+00 
7 3 0.000000e+00 0.000000e+00 
7 4 0.000000e+00 0.000000e+00 
7 5 0.000000e+00 0.000000e+00 
7 6 8.493231e-01 2.963376e-14 
7 7 -1.213644e-07 -1.106766e-06 
7 8 0.000000e+00 0.000000e+00 
7 9 0.000000e+00 0.000000e+00 
7 10 7.081025e-07 -2.918083e-21 
7 11 -1.075336e-13 -9.180522e-14 
7 12 0.000000e+00 0.000000e+00 
7 13 0.000000e+00 0.000000e+00 
7 14 0.000000e+00 0.000000e+00 
7 15 0.000000e+00 0.000000e+00 
7 16 0.000000e+00 0.000000e+00 
8 1 0.000000e+00 0.000000e+00 
8 2 0.000000e+00 0.000000e+00 
8 3 0.000000e+00 0.000000e+00 
8 4 0.000000e+00 0.000000e+00 
8 5 0.000000e+00 0.000000e+00 
8 6 8.489125e-01 5.928587e-14 
8 7 -1.699401e-07 -1.549192e-06 
8 8 0.000000e+00 0.000000e+00 
8 9 0.000000e+00 0.000000e+00 
8 10 9.911509e-07 -8.390031e-21 
8 11 -2.150409e-13 -1.835854e-13 
8 12 0.000000e+00 0.000000e+00 
8 13 0.000000e+00 0.000000e+00 
8 14 0.000000e+00 0.000000e+00 
8 15 0.000000e+00 0.000000e+00 
8 16 0.000000e+00 0.000000e+00 
9 1 0.000000e+00 0.000000e+00 
9 2 0.000000e+00 0.000000e+00 
9 3 0.000000e+00 0.000000e+00 
9 4 0.000000e+00 0.000000e+00 
9 5 0.000000e+00 0.000000e+00 
9 6 8.484169e-01 1.067579e-13 
9 7 -2.266422e-07 -2.065153e-06 
9 8 0.000000e+00 0.000000e+00 
9 9 0.000000e+00 0.000000e+00 
9 10 1.321234e-06 -2.035892e-20 
9 11 -3.870210e-13 -3.304020e-13 
9 12 0.000000e+00 0.000000e+00 
9 13 0.000000e+00 0.000000e+00 
9 14 0.000000e+00 0.000000e+00 
9 15 0.000000e+00 0.000000e+00 
9 16 0.000000e+00 0.000000e+00 
10 1 0.000000e+00 0.000000e+00 
10 2 0.000000e+00 0.000000e+00 
10 3 0.000000e+00 0.000000e+00 
10 4 0.000000e+00 0.000000e+00 
10 5 0.000000e+00 0.000000e+00 
10 6 8.478364e-01 1.780190e-13 
10 7 -2.914882e-07 -2.654557e-06 
10 8 0.000000e+00 0.000000e+00 
10 9 0.000000e+00 0.000000e+00 
10 10 1.698286e-06 -4.397790e-20 
10 11 -6.449382e-13 -5.505728e-13 
10 12 0.000000e+00 0.000000e+00 
10 13 0.000000e+00 0.000000e+00 
10 14 0.000000e+00 0.000000e+00 
10 15 0.000000e+00 0.000000e+00 
10 16 0.000000e+00 0.000000e+00 
11 1 0.000000e+00 0.000000e+00 
11 2 0.000000e+00 0.000000e+00 
11 3 0.000000e+00 0.000000e+00 
11 4 0.000000e+00 0.000000e+00 
11 5 0.000000e+00 0.000000e+00 
11 6 8.471711e-01 2.799110e-13 
11 7 -3.644987e-07 -3.317298e-06 
11 8 0.000000e+00 0.000000e+00 
11 9 0.000000e+00 0.000000e+00 
11 10 2.122232e-06 -8.689321e-20 
11 11 -1.013308e-12 -8.650159e-13 
11 12 0.000000e+00 0.000000e+00 
11 13 0.000000e+00 0.000000e+00 
11 14 0.000000e+00 0.000000e+00 
11 15 0.000000e+00 0.000000e+00 
